Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Roasted Spaghetti Squash with Honey ,蜂蜜烤意大利面条壁球（素）,蜜汁烤西葫芦
Carrot Cake  ,胡萝卜蛋糕（w /坚果）（素）,胡萝卜蛋糕
Lemon Yogurt Muffin ,柠檬酸奶松饼（素）,柠檬酸奶松饼
Oatmeal ,燕麦（素）,燕麦粥
Cream Of Wheat ,小麦奶油（素）,奶油小麦
Buttermilk Pancakes ,奶油煎饼（素）,黄油牛奶煎饼
Denver Omelet,丹佛煎蛋卷,丹佛煎蛋卷
Diced Potatoes ,丁香土豆（素）,土豆丁
Scrambled Eggs ,炒鸡蛋（素）,炒鸡蛋
Scrambled Egg Whites ,炒蛋（素）,炒蛋白
Make Your Own Waffle ,自制华夫饼（素）,自制华夫饼
Blueberry Muffin ,蓝莓松饼（素）,蓝莓松饼
Bagels-Breads & Cereals- See for Choices,百吉饼面包,白吉饼面包
Organic Nonfat Milk,有机脱脂牛奶,有机脱脂牛奶
Sliced Almond,切杏仁,切杏仁
Banana,香蕉,香蕉
Raisin,葡萄干,葡萄干
Jicama Pico De Gallo ,Jicama Pico De Gallo（素）,
Greek Pasta Salad ,希腊面食沙拉（素）,希腊面团沙拉
Sliced Turkey,火鸡片,火鸡切片
Sliced Pastrami,切片Pastrami,薰牛肉切片
Sliced Jack Cheese ,切片杰克奶酪（素）,杰克奶酪切片
Sliced Provolone Cheese ,切片脯酪干酪（素）,波萝芙箩干酪切片
Chicken Fajitas,鸡肉春饼,墨西哥烤鸡肉
Vegetable Fajita ,蔬菜法ita（素）,墨西哥烤蔬菜
Refried Black Beans ,黑豆（素）,冷制黑豆
Spanish Rice ,西班牙饭（素）,西班牙饭
Chicken Diavola,鸡Diavola,鸡肉空心意粉
Sauteed Summer Squash with Herbs ,用草药烹制的夏季南瓜（素）,草药夏季南瓜
Italian Green Beans ,意大利绿豆（素）,意大利绿豆
Steamed Vegetables & Brown Rice ,蒸蔬菜,煮蔬菜和棕米
Mashed Potatoes ,土豆泥（素）,土豆泥
Pepperoni Pizza,辣椒披萨,辣椒披萨
Arugula & Artichoke Pizza on White ,芝麻菜,芝麻菜
Vegetable Noodle Soup ,蔬菜面汤（素）,蔬菜汤面
Grilled Turkey Burger,烤火鸡汉堡,烤火鸡汉堡
Gardenburger ,花园汉堡（素）,田园汉堡
Potato Taquito ,马铃薯饼（素）,马铃薯饼
Krinkle Cut Fries ,波浪薯条,波浪薯条
Baked Potato ,烤土豆（素）,烤土豆
Baked Sweet Potato ,烤红薯（素）,烤红薯
Long Grain Rice ,长粒米,长粒米
Lemon Bread ,柠檬面包（素）,柠檬面包
Galaktoboureko (Greek Pudding) ,Galaktoboureko（希腊布丁）（素）,希腊布丁
Toffee Square  ,太妃坊（w /坚果）（素）,太妃方糖
Water,水,水
Fuji Apple,富士苹果,富士苹果
Nonfat Plain Greek Yogurt,脱脂普通希腊酸奶,脱脂希腊酸奶
Caesar Salad,凯撒沙拉,凯撒沙拉
Tortilla Chips and Salsa ,玉米饼和莎莎（素）,洋葱调味玉米饼
Pita Chips and Hummus ,皮塔薯片和虎嘴豆（素）,皮塔薯片和虎嘴豆
Sticky Rice ,粘米饭（素）,糯米
Lemon Ginger Chicken,柠檬姜鸡,柠檬姜鸡
Vegetable Fried Rice ,蔬菜炒饭（素）,蔬菜炒饭
Tilapia w/Red Curry Sauce & Rice,罗非鱼与红咖喱酱,罗非鱼和红咖喱酱
Vegetable Pad Thai  ,蔬菜泰国面（w /坚果）（素）,蔬菜泰国面
Carrots with Fresh Thyme ,胡萝卜与新鲜的百里香（素）,胡萝卜和新鲜百里香
Fresh Green Beans ,鲜绿豆（素）,鲜绿豆
French Onion Soup w/Croutons,法国洋葱汤/面包汤,法国洋葱汤
Rigatoni Pasta ,Rigatoni面食（素）,粗通心面
Turkey Sausage and Mushroom Sauce,火鸡香肠和蘑菇酱,火鸡香肠蘑菇酱
Fettucine Alfredo ,Fettucine Alfredo（素）,阿尔弗雷多白脱奶油面
Brown Rice ,糙米（素）,糙米
Whole Wheat Bread ,全麦面包（素）,全麦面包
Black Bottom Banana Cream Pie ,黑底香蕉奶油馅饼（素）,黑的香蕉奶油馅饼
Almond Milk,杏仁奶,杏仁奶
Sustainable Mandarin,可持续中国蔬菜,有机柑橘
Vegetable Pad Thai  ,蔬菜泰国面（w /坚果）（素）,蔬菜泰国面
Manhattan Clam Chowder,曼哈顿蛤蜊汤,曼哈顿牡蛎汤
Grilled Vegetable Wheat Wrap ,烤蔬菜小麦包（素）,烤蔬菜小麦包
Roasted Root Vegetables ,烤根菜（素）,烤根菜
Grilled Turkey Taco,烤火鸡薄饼卷,烤火鸡博饼
Vegetable Taco ,蔬菜薄饼卷（素）,蔬菜博饼卷
Rice with Cilantro & Lime ,米饭与香菜,香菜米饭
Black Beans ,黑豆（素）,黑豆
Flour Tortilla ,面粉玉米饼（素）,面粉玉米饼
Corn Tortilla ,玉米饼（素）,玉米饼
Wheat Tortilla ,小麦玉米饼（素）,小麦玉米并
Fire Roasted Tomato Salsa ,火烤番茄酱（素）,火烤番茄
Roasted Tomato & Basil Pizza ,烤番茄,烤番茄
Pesto Cheese Pizza ,派斯特奶酪披萨饼（素）,派斯特奶酪披萨
Herb Breadsticks ,草本面包（素）,草本面包
Spicy Turkey Citrus Stir Fry,辣火鸡柑橘搅拌炒,辣火鸡柑橘
Sweet & Sour Tofu w/ Vegetables ,甜,甜咸豆腐蔬菜
Country Wild Rice Blend ,国家野稻混合（素）,国家野稻混合
Chicken Patty Sandwich,鸡肉饼干三明治,鸡肉饼干三明治
Veggie Burger on Whole Wheat Bun ,素食汉堡全麦面包（素）,全麦面包素食汉堡
Grilled Tuna/Swiss/Sourdough Sandwich,烤金枪鱼/瑞士/ Sourdough三明治,烤金枪鱼三明治
Krinkle Cut French Fries ,波浪薯条（素）,波浪薯条
Spinach Salad with Vinaigrette,菠菜沙拉配香醋,香醋菠菜沙拉
Tomatoes Dijon Salad ,番茄第戎沙拉（素）,番茄第戎沙拉
Olive Roll ,橄榄卷（素）,橄榄卷
Strawberry Shortcake ,草莓脆饼（素）,草莓脆饼
Apple Kuchen  ,苹果Kuchen（w /坚果）（素）,德式咖啡面包
Honey,蜂蜜,蜂蜜
Fresh Vegetable Medley ,新鲜蔬菜汁,新鲜蔬菜汁
Shredded Jack & Cheddar Cheese Mix,切碎的杰克奶酪,杰克奶酪碎
Carrot And Curry Soup ,胡萝卜和咖喱汤（素）,胡萝卜咖喱汤
Herb & Garlic Crusted Tilapia,草本植物,咖喱罗非鱼
Sauteed Fresh Carrots ,炒新鲜胡萝卜（素）,炒胡萝卜
Rice Pilaf ,米饭（素）,肉饭
Stuffed Peppers ,辣椒（素）,填充辣椒
Grilled Chicken Taco,烤鸡肉卷,烤鸡肉卷
Potato Taco ,马铃薯饼（素）,马铃薯饼
Refried Beans ,干豆（素）,干豆
Pineapple Chicken,菠萝鸡,菠萝鸡
Spicy Veg w/Peanut Sauce  ,（w /坚果）（素）,辣蔬菜
Caesar Salad ,凯撒沙拉（素）,凯撒沙拉
Blueberry Cornbread ,蓝莓玉米面包（素）,蓝莓玉米面包
Fresh Strawberry Pie ,新鲜草莓馅饼（素）,新鲜草莓馅饼
Chunky Peanut Butter,大块花生酱,大块花生酱
Make Your Own Waffles ,自制华夫饼（素）,自制华夫饼
Whole Wheat Waffle ,全麦饼干（素）,全麦饼干
Cage Free Scrambled Eggs ,摊鸡蛋（素）,摊鸡蛋
Cage Free Scrambled Egg Whites ,摊鸡蛋白（素）,摊鸡蛋白
Whole Wheat Pancakes ,全麦饼（素）,全麦饼
Fresh Blueberry Compote,新鲜蓝莓椰子,新鲜蓝莓椰子
Home Fried Red Potatoes ,家炒红土豆（素）,家炒红土豆
Bran Muffin ,麸皮松饼（素）,麸皮松饼
Lowfat Granola ,低碳格兰诺拉（w /坚果）,低碳蓝格诺啦
Tomato Dijon Salad ,番茄第戎沙拉（素）,番茄第戎沙拉
Blackened Chicken Breast,黑鸡胸肉,黑鸡胸肉
Orzo with Kale and Shiitake ,Orzo与Kale和Shiitake（素）,橄榄菜香菇面食
Cornbread with Honeybutter ,玉米饼与蜜糖（素）,蜂蜜黄油玉米面包
Peanut Butter Pie  ,花生酱馅饼（w /坚果）（素）,花生酱馅饼
Blueberry Buttermilk Scone ,蓝莓奶酪（素）,蓝莓酪浆饼
Carnitas Tortas,Carnitas Tortas,墨西哥卷饼
Turkey Tettrazini,火鸡Tettrazini,火鸡肉h意面
Spinach Quiche ,菠菜乳蛋饼（素）,菠菜法式咸派
Grilled Cheese on White ,白色烤芝士（素）,烤芝士
Sourdough bread,面包（素）,加州酸面包
Brownie  ,布朗尼（w /坚果）（素）,核仁巧克力蛋糕
Green Curry Beef on Rice Noodles,绿咖喱牛肉米线,绿咖喱牛肉米线
Tofu Vegetable Pad Thai  ,豆腐蔬菜泰国面（w /坚果）（素）,豆腐蔬菜泰式面
Italian Mixed Vegetables ,意大利混合蔬菜（素）,意式混合蔬菜
Boston Cream Pie  ,波士顿奶油馅饼（w /坚果）（素）,波士顿奶油派
Fresh Carrots with Thyme ,新鲜胡萝卜与百里香（素）,百里香新鲜胡萝卜
Beef Sopes,牛肉Sopes,墨西哥牛肉饼
Assorted Bell Pepper Pizza ,什锦贝尔披萨饼（素）,什锦甜椒披萨
Chicken Chop Suey,鸡扒苏,鸡肉炒杂碎
Miso Soup ,味噌汤,味噌汤
Grilled Vegetables with Couscous ,Couscous（素）烤蔬菜,h蔬菜古斯古斯面
Chicken Fried Taco,炸鸡玉米饼,墨西哥炸鸡卷
Black Bean Tostada ,黑豆Tostada（素）,黑豆脆玉米饼
Shredded Jack Cheese,切碎的杰克奶酪,杰克芝士
Chicken Caesar Wrap,鸡凯撒裹,凯撒鸡肉卷
Meatball Calzone,肉丸Calzone,半圆形烤乳酪肉丸馅饼
Pasta Carolina ,卡罗莱纳州（素）,卡罗莱纳面
Queso with Roasted Chiles Panini ,与雪茄帕尼尼（素）,西班牙乳酪烤帕尼尼
Assorted Butter Cookie  ,什锦黄油饼干（w /坚果）（素）,什锦黄油饼干
Chocolate Chocolate Chip Bars ,巧克力棒（素）,巧克力条
Sweet and Tangy Spare Ribs,甜美的和浪漫的排骨,蜜汁排骨
Indian Lentils with Potatoes ,印度扁豆与土豆（素）,土豆配印度扁豆
Red Clam Sauce,红am酱,红蛤酱
Lemon Pie ,柠檬饼（素）,柠檬饼
Spinach Enchilada ,菠菜恩希拉达（素）,辣肉馅玉米卷
Quiche Lorraine,Quiche Lorraine,法式洛林熏肉咸塔
Sourdough French Toast ,法国吐司（素）,法式吐司面包
Ambrosia Salad ,安布拉沙拉（含坚果）,仙果沙拉
Tangy Cool Noodle Salad ,汤迪酷面条沙拉（素）,蜜汁沙拉面条
Chicken Tostada,鸡Tostada,肌肉脆玉米饼
Stir Fry Line ,搅拌线（w /坚果）,煸炒米线
Chicken Stir Fry with Veggies,鸡肉炒蔬菜,鸡肉炒蔬菜
Beef Stir Fry with Vegetables,牛肉炒蔬菜,牛肉炒蔬菜
Spicy Noodles w/Tofu & Cucumber ,辣面条/豆腐,辣味面条／豆腐黄瓜
Hoisin Sauce,海鲜酱,海鲜酱
Chow Mein Noodles,周美面,中式炒面
Brown Molasses Bread ,棕色糖浆面包（素）,黑糖面包
Magic Rainbow Bar  ,魔术彩虹吧（w /坚果）（素）,魔法彩虹坚果条
Chicken & Waffle Line,鸡和Chicken & Waffle Line,鸡肉华夫饼
Fried Chicken,炸鸡,香炸鸡肉
Cinnamon Beef Noodles,肉桂牛肉面,肉桂牛肉面
Green Curry Chicken with Thai Basil,绿色咖喱鸡与泰国罗勒,绿咖喱鸡肉泰式面
Stir Fried Chinese Greens ,中国炒蔬菜（素）,中式炒蔬菜
Zebra Bars  ,斑马条（w /坚果）（素）,牛奶巧克力脆条
Pork Balchao,猪肉棒,印度酸辣猪肉
Avocado Salsa,鳄梨撒拉,鳄梨沙拉
Beef Milanesa,牛肉米拉内萨,炸牛排
Buffalo Chicken Drumstick,水牛鸡炸锅,大鸡腿
Carne Asada Taco,Carne Asada Taco,墨西哥牛肉卷
Chile Relleno with Tomato Sauce ,智利Relleno番茄酱（素）,智利辣味番茄酱
Pepperoni and Olive Pizza,胡椒和橄榄披萨,胡椒橄榄披萨
Homemade Egg Roll ,自制蛋卷（素）,自制鸡蛋卷
Chicken Lettuce Cup,鸡生菜杯,鸡肉生菜杯
Roasted Shaved Brussel Sprouts ,烘烤的布鲁塞尔芽菜（素）,烤甘蓝
Lemon and Herb Roasted Chicken Quarters,柠檬和草药烤鸡舍,柠檬香料烤鸡腿
Strawberry Blintz ,草莓布林茨（素）,草莓薄煎饼
Spinach Lasagna ,菠菜烤宽面条（素）,菠菜宽面
Jerk Chicken Quarter,急鸡场,牙买加烟熏烤鸡腿
Vegetable Cutlet ,蔬菜饼（素）,蔬菜肉片
Peas and Mushrooms ,豌豆和蘑菇（素）,豌豆蘑菇
Bean Rice & Cheese Burrito ,糯米饭,豆饭&墨西哥卷
Green Rice ,绿米饭,蔬菜饭
Meat Sauce with Mushrooms,肉酱与蘑菇,肉酱烧蘑菇
Light Tomato Sauce ,番茄酱（素）,番茄酱
Sour Cream & Chive Rolls ,酸奶油,酸奶油&洋葱卷
Fish Herb & Garlic Crusted Tilapia,鱼草,香料蒜烤罗非鱼
Whole Wheat Penne Pasta,全麦面包Penne面食,白意大利面
Rotelli Pasta,罗特利面食,红意大利面
Cage Free Scrambled Eggs w/Bacon &Cheese,笼子免费炒鸡蛋与培根,炒蛋，培根，和芝士
Chicken Tamale,鸡肉玉米粉,鸡肉玉米卷
Creamy Chipotle Salsa ,奶油巧克力酱（素）,烟熏辣椒酱
Beef Noodle Casserole,牛肉面砂锅,牛肉面
Fresh Green Beans with Garlic ,新鲜绿豆与大蒜（素）,大蒜配新鲜绿豆
Pulled Pork Sandwich with Coleslaw,用Coleslaw拉扯猪肉三明治,菜丝猪肉三明治
Chicken Bean and Rice Burrito,鸡豆和米饭,墨西哥鸡肉米饭卷
Bean & Cheese Nachos ,豆,豆&芝士玉米片
Four Cheese Pesto Pizza on Wheat ,小麦四味芝士披萨（素）,四重芝士披萨
Chicken Harissa,鸡哈里莎,鸡肉辣椒酱
Roast Pork Loin,烤猪肉,烤猪排
Country Gravy,国家肉汁,西餐肉汁
Cage Free Eggs Scrambled ,笼罩鸡蛋（素）,炒鸡蛋
Chilaquiles ,Chilaquiles（素）,玉米片
Ham & Cheddar Quiche,火腿,火腿&法式乳蛋饼
Chicken Velvet Soup,鸡天鹅绒汤,丝滑鸡肉汤
Moroccan Carrot w/Chickpeas & Tomato ,摩洛哥胡萝卜/鹰嘴豆,摩洛哥胡萝卜／鹰嘴豆&西红柿
Roasted Cauliflower w/Cumin & Yogurt ,烤花椰菜孜然,香烤花椰菜／枯茗&奶酪
Sustainable Wild Albacore Tuna,可持续的野生长鳍金枪鱼,野生金枪鱼罐头
Shrimp Pad Thai ,虾垫泰国（w /坚果）,鲜虾泰式面
German Potato Salad,德国土豆沙拉,德式土豆沙拉
Black Bean Tostada ,黑豆Tostada（素）,黑豆玉米饼
Roasted Red Breakfast Potatoes ,烤红色早餐土豆（素）,烤土豆
Rotelli Pasta ,罗特利面食（素）,意大利面
Chicken Chow Mein,鸡肉炒面,鸡肉炒面
Blackened Catfish,熏黑鲶鱼,熏制鲶鱼
Roasted Achiote Chicken,烤Achiote鸡,胭脂树酱烤鸡肉
8 Grain Hot Cereal ,8谷物热谷物,8种谷物热麦片
Maple Scone,枫木,英式枫浆茶饼
Turmeric Roasted Cauliflower ,姜黄花菜（素）,酱烤花椰菜
Red Beans & Rice,红豆,红豆饭
Broccolini Pasta ,西兰花面食（素）,花椰菜意大利面
Salsa Ranchero w/Avocado ,Salsa Ranchero w / Avocado（素）,墨西哥牛油果酱
Teriyaki Chicken Breasts,Teriyaki鸡胸肉,照烧鸡胸肉
Zucchini & Crookneck Squash ,夏南瓜,葫芦和弯颈南瓜
Chipotle Aioli ,Chipotle Aioli（素）,辣椒蒜泥蛋黄酱
Eggs Madi Gras with Sweet Potato,鸡蛋捣蛋与红薯,鸡蛋配甜土豆
Wild Mushroom Rst Garlic Cream Sauce ,野生蘑菇Rst大蒜奶油酱（素）,蒜蓉野生蘑菇
Chicken & Bean Chimichanga,鸡,鸡肉绿豆煎饼
Marinated Broccoli and Bean Salad ,腌制西兰花和豆沙拉（素）,西兰花和豆制沙拉
Chorizo Breakfast Pizza,Chorizo\u200b\u200b早餐披萨,香肠早餐披萨
Sausage and Potato Hash,香肠和土豆哈希,香肠与土豆泥
Grilled Pesto/Mozz/Arugula Pizza ,烤苹果酱/奶油/芝麻菜披萨（素）,香h蒜蓉／干酪／芝麻餐披萨
Brownie ,布朗尼（w /坚果）（素）,核仁巧克力蛋糕
Vegetable Taco Salad ,蔬菜沙律（T）,蔬菜沙拉
Pork Loin Roast,烤猪肉,烤猪里脊肉
Broccoli and Rice Stuffed Tomatoes ,西兰花和米饭西红柿（素）,西兰花和米饭西红柿
Bean and Cheese Hard Shell Taco ,豆和奶酪硬壳Taco（素）,豆奶酪硬壳玉米卷
Hawaiian Chicken Stir Fry ,夏威夷鸡肉饭（w /坚果）,夏威夷风情鸡肉炒饭
Dragon Noodles ,龙面（素）,龙面条
Marble Cake w/Fudge Icing ,大理石蛋糕w / Fudge Icing（素）,大理石花纹蛋糕 / 奶油糖霜
zSausage Biscuits & Gravy,zSausage饼干,香肠肉汁饼
Beef & Cheddar Sandwich on Kaiser,牛肉,牛肉干酪凯撒沙拉
Beef And Barley Soup,牛肉和薏仁汤,牛肉和薏仁汤
Chocolate Chocolate Chip Bar ,巧克力巧克力棒（素）,巧克力棒
Cobb Salad,科布色拉,科布沙拉
Swai Fish,斯威鱼,烤Swai鱼排
Honey Baked Chicken,蜂蜜烤鸡,蜂蜜烤鸡
Cheese Ravioli with Marinara Sauce ,奶油馄饨与马里纳拉酱（素）,奶油方饺拌沙拉酱
Garlic Roasted Red Potatoes ,大蒜烤红薯（素）,大蒜烤红薯
Carrots w/Lemon Butter ,胡萝卜/柠檬黄油（素）,胡萝卜/柠檬黄油
Grilled Pastrami Swiss On Sourdough,烤牛扒瑞士牛排,烤牛扒瑞士牛排
Rosemary White Bean Soup ,迷迭香白豆汤（素）,迷迭香白豆汤
Potato Bread ,土豆面包（素）,土豆面包
Cream Of Broccoli Soup ,西兰花汤（素）,西兰花奶油汤
Rotisserie Pork Loin,罗盘酱猪肉,烤猪排
Pork Gravy,猪肉汁,猪肉汁
Blueberry Pancakes ,蓝莓煎饼（素）,蓝莓烙饼
Raspberry Scone ,覆盆子（素）,覆盆子烤饼
Chocolate Pecan Coffee Cake ,巧克力山核桃咖啡蛋糕（含坚果）,巧克力山核桃咖啡蛋糕
General Tsoyinhaos Chicken,左宗棠鸡,左宗棠鸡
Chinese Style Tofu & Vegetables ,中式豆腐和蔬菜,中式豆腐拌蔬菜饭
Fresh Cauliflower ,新鲜花椰菜（素）,新鲜花椰菜
Sauteed Zucchini Sticks ,嫩嫩西葫芦（素）,快炒嫩西葫芦
Ratatouille with White Beans ,白萝卜（素）,蔬菜杂烩拌白豆
Split Pea Soup ,豌豆汤（素）,豌豆汤
Chicken Marinara Sauce,鸡丸丸酱,鸡肉沙司酱
Ham & Pineapple,火腿,火腿拌菠萝
Artichoke Pizza with Pesto on Wheat ,朝鲜蓟披萨与小茴香（素）,青酱小麦洋蓟披萨
Carrot Cake w/Cream Cheese  ,胡萝卜蛋糕/奶油奶酪（w /坚果）（素）,胡萝卜蛋糕/奶油奶酪
Sour Cream & Chives Roll ,酸奶油,酸奶油拌韭菜卷
BBQ Beef on Bun,烧烤牛肉面包,烧烤牛肉面包
Grilled Canadian Bacon,烤加拿大培根,烤加拿大培根
Tri Tip Roast,三点烤,烤牛肉
Au Jus,Au Jus,原汤
Marinated Cucumbers & Onions ,腌制的黄瓜,腌黄瓜拌洋葱
Monterey Jack Cheese ,蒙特里杰克奶酪（素）,蒙特里杰克奶酪
Chicken Chilequilles,鸡智利,鸡肉卷
Tuna Melt,金枪鱼三明治,金枪鱼三明治
Herb Omelet ,草本煎蛋卷（素）,香草煎蛋
North African Lentil Stew ,北非扁豆炖肉,北非扁豆炖肉
Biscuit ,饼干（素）,饼干
Scotcheroo  ,苏格兰（w /坚果）（素）,甜坚果饼干
Whole Wheat Bagel,全麦百吉饼,全麦硬面包圈
Rosemary Chicken,迷迭香鸡,迷迭香料鸡
zBeef Noodle Casserole,z牛肉面条砂锅,牛肉面条砂锅
Ricotta Stuffed Pasta Shells ,意大利面条（素）,意大利面条
zThree Bean Pilaf ,zThree Bean Pilaf（素）,三豆饭
Fresh Cauliflower & Broccoli Mix ,新鲜花椰菜,新鲜花椰菜
Grilled Roast Beef & Swiss on WW,烤烤牛肉,烧烤牛肉
Oatmeal Bread ,燕麦面包（素）,燕麦面包
Cookies & Cream Cheesecake ,饼干,曲奇饼干配奶油芝士蛋糕
Chile Verde with Pork & Corn Tortillias,智利Verde与猪肉,智利特色猪肉配玉米粉圆饼
Roasted Potato Salad w/Goat Cheese ,烤土豆沙拉/山羊奶酪（素）,烤土豆沙拉配芝士
Smoked Gouda ,熏制古达（素）,熏制干酪
Pork Vietnamese Vermicelli,猪肉越南粉丝,猪肉越南细面条
Chicken Enchilada,鸡Enchilada,鸡肉墨西哥风味菜
Quesadilla ,Quesadilla（素）,油炸玉米粉饼
Mexican Wedding Cookie  ,墨西哥婚礼饼干（w /坚果）（素）,墨西哥特色小饼干
Teriyaki Sauce ,Teriyaki酱（素）,红烧酱料
Oven Roasted Red Potatoes ,烤箱烤红薯（素）,烤红薯
Hearty Vegetable Soup ,丰盛的蔬菜汤（素）,丰盛蔬菜汤
Parmesan Herb Bread ,巴马草药面包（素）,意大利香草面包
Apple Crumb Pie ,苹果面包饼（素）,苹果面包饼
Chicken and Bean Burrito,鸡肉和炸薯条,鸡肉拌豆卷饼
Potato Rajas Mole Taco ,土豆拉贾斯·摩尔·塔科（素）,土豆玉米薄卷饼
Raviolis And Meat Sauce,馄饨和肉酱,方饺配肉酱
Wild Rice Country Blend ,野稻混合（素）,混合大米
Tortellini Pesto Salad ,Tortellini Pesto沙拉（素）,Tortellini Pesto沙拉
Quinoa Salad w/Lemon Herb Veggies ,藜芦沙拉有柠檬草药（素）,藜芦沙拉 / 柠檬香草拌菜
Confetti Cake w/Butter Cream Icing ,五彩蛋糕带黄油霜（素）,五彩蛋糕带黄油霜
Grilled Onions ,烤洋葱（素）,烤洋葱
Carrots with Tarragon ,胡萝卜与塔拉贡（素）,胡萝卜配龙嵩叶
Grilled Vegetable Soft Taco ,烤蔬菜软Taco（素）,烤蔬菜卷软饼
Stir Fry Beef with Vegetables,用蔬菜炒牛肉,蔬菜炒牛肉饭
Vegetable Curry ,蔬菜咖喱（素）,蔬菜咖喱
Banana Cream Pie ,香蕉奶油馅饼（素）,香蕉奶油馅饼
Grilled Ham & Swiss Sandwich,烤火腿,烤火腿三明治
Muffin Blueberry Cornbread ,松饼蓝莓玉米面包（素）,松饼蓝莓玉米面包
Strawberry Salad w/Poppyseed Dressing,草莓沙拉w / Poppyseed Dressing（素）,草莓罂粟籽沙拉
Beef Pot Pie,牛肉馅饼,牛肉馅饼
Fresh Steamed Cauliflower ,新鲜花椰菜（素）,新鲜花椰菜
Turkey Burger,火鸡汉堡,火鸡汉堡
Chicken Curry Panini,鸡蛋咖喱帕尼尼,鸡肉咖喱意式三明治
Chocolate Crinkle Cookie ,巧克力蛋糕（素）,巧克力蛋糕
Dutch Apple Bars ,荷兰苹果酒吧（素）,苹果
Yam & Avocado Sushi Roll ,芋头（素）,山药卷
Sweet And Sour Pork,甜酸猪肉,甜酸猪肉
Roasted Red Potato Wedges ,烤红薯条（素）,烤红薯条
Ice Cream Bar,冰淇淋吧,冰淇淋
Hot Fudge Sauce,热软糖,热软糖
Caramel,焦糖,焦糖
Rainbow Sprinkle,彩虹洒,彩虹糖
Candy Assorted Mini Size,糖果分类迷你尺寸,迷你尺寸糖果
Lemon Cake with Raspberry Filling ,柠檬蛋糕用覆盆子馅（素）,柠檬蛋糕配覆盆子馅
Carrot Sticks ,胡萝卜棒（素）,胡萝卜棒
Sausage and Potato Breakfast Casserole,香肠和土豆早餐砂锅,香肠和土豆早餐砂锅
Scrambled Eggs with Sauteed Veggies ,炒鸡蛋（S）,鸡蛋炒蔬菜
English Muffin Sandwich,英国松饼三明治,英格兰酥饼三明治
Dried Cranberry Scone ,干蔓越莓（素）,小红莓干英式松饼
Baby Greens w/Roasted Beets Salad ,宝贝绿色w /烤甜菜沙拉（素）,绿色烤甜菜沙拉
Green & Yellow Bean Salad ,绿色,绿豆和黄豆沙拉
Chicken Teriyaki Quarters,鸡Teriyaki宿舍,照烧鸡块
Thai Beef with Mint Soup,泰国牛肉与薄荷汤,泰式牛肉薄荷汤
Tofu Lemon Ginger Stir Fry ,豆腐柠檬姜搅拌炒（素）,豆腐柠檬拌姜炒饭
Carrots with Chive Butter ,胡萝卜与韭菜黄油（素）,胡萝卜与韭菜黄油
California Roll,加州卷,加州卷饼
Vegetable Roll ,蔬菜卷（素）,蔬菜卷
Corn Muffin ,玉米松饼（素）,玉米松饼
Angel Food Cake  ,天使食品蛋糕（w /坚果）（素）,坚果蛋糕
Oatmeal Lace Cookies ,燕麦饼干（素）,燕麦饼干
Baby Greens w/Roasted Beets ,宝贝绿色w /烤甜菜（素）,烤甜菜
Brussel Sprouts w/ Ginger & Garlic ,Brussel Sprouts w /姜,甘蓝小包菜配姜蒜
Carrot & Raisin Salad ,胡萝卜,胡萝卜配葡萄干沙拉
Beef Chow Mein,牛肉炒面,牛肉炒面
Vegetable Chow Mein ,蔬菜炒面（素）,蔬菜炒面
Sandwich Chicken Salad/Pita,三明治鸡肉沙拉/皮塔饼,三明治鸡肉沙拉/皮塔饼
Chili and Noodles ,辣椒和面条（素）,辣椒面
Sauteed Zucchini ,西葫芦（素）,香煎西葫芦
Smoked Barbeque Chicken Pizza,烟熏烧烤鸡披萨,烟熏烤鸡披萨
Pineapple & Jalapeno Pizza on Wheat ,菠萝,菠萝辣椒披萨
Carrot And Ginger Soup ,胡萝卜和姜汤（素）,胡萝卜姜汤
Grilled Swiss/Bacon on Sourdough,烧烤瑞士/培根在Sourdough,烤瑞士芝士/培根
Graham Bread ,格拉姆面包（素）,格拉姆面包
Cheesecake Bar  ,芝士蛋糕酒吧（w /坚果）（素）,芝士蛋糕块
Oatmeal Chocolate Chip Cookie ,燕麦巧克力饼干（素）,燕麦巧克力曲奇
Armenian Salad ,亚美尼亚沙拉,美式沙拉
Couscous Salad with Tomato & Herb ,椰子沙拉配番茄,麦粉沙拉配番茄和芳草
Tofu Vegetable Stir Fry ,豆腐蔬菜炒（素）,豆腐蔬菜盖浇饭
Grilled Ham,烤火腿,烤火腿
Stuffed Zucchini ,西葫芦（素）,香煎西葫芦
Baked Acorn Squash ,烘焙橡子南瓜（素）,烘烤橡子碎
Fresh Spinach with Garlic ,新鲜菠菜与大蒜（素）,蒜蓉菠菜
Roasted Pepper Tomato Sausage Sauce,烤胡椒番茄香肠酱,烤番茄香肠酱配胡椒粉
Vermicelli Pasta,粉丝面食,意式细面
Marinara Sauce ,马里纳拉酱,番茄大蒜调味酱
Cookies' Cream Cake ,饼干奶油蛋糕（素）,曲奇奶油蛋糕
Whole Wheat Roll ,全麦卷（素）,全麦卷
Grilled Chicken Vincenza Sandwich,烤鸡Vincenza三明治,意式烤鸡三明治
Pork Sopes,猪肉袜,蘸酱猪肉
Avocado & Tomato Salsa ,鳄梨,鳄梨土豆辣沙司
